equity,symbol
15403.929683068885,AAPL
15742.429089716978,AAPL
15635.895549187655,AAPL
15628.109849987055,AAPL
15509.677461323603,AAPL
15439.337440472033,AAPL
15809.945033604308,AAPL
15593.478273755933,AAPL
14979.280738638989,MSFT
14714.24612704854,AAPL
14707.032569048308,MSFT
14694.034248557022,AAPL
14925.965004956197,AAPL
14949.399549615666,AAPL
14301.754138142975,MSFT
14360.545060098751,AAPL
14074.851938022139,AAPL
13764.860081989153,AAPL
13608.668556445211,AAPL
13421.3426072001,AAPL
13423.337598984586,MSFT
13257.093969207734,AAPL
13621.571831361392,MSFT
13751.645943438945,MSFT
14697.450922085995,AAPL
15066.73944898745,AAPL
15037.015620551198,AAPL
15250.871530176913,MSFT
14641.562489255932,MSFT
14854.866049611484,MSFT
14777.105677170357,AAPL
15035.21235328869,AAPL
15144.87535053923,AAPL
14772.328423419576,AAPL
14458.88234263889,AAPL
14465.001822871023,AAPL
14785.440207390611,AAPL
14750.114383599695,AAPL
14421.643063950452,AAPL
14272.298125054882,AAPL
14247.616374775995,MSFT
13864.865811240628,AAPL
14559.406209100389,MSFT
14733.614437015232,AAPL
14743.010593877616,AAPL
14556.836904467424,AAPL
14841.98334491583,AAPL
14616.028041350695,MSFT
14302.096293229735,MSFT
13747.505761186272,MSFT
13582.932396686529,MSFT
14192.238796765178,MSFT
14034.893616758354,MSFT
13749.587598564805,MSFT
13370.619846442838,AAPL
13754.050083375783,AAPL
14139.373245513672,AAPL
14165.101004962573,MSFT
14447.251501230932,AAPL
14556.152602036214,AAPL
14780.012241519951,MSFT
14543.088058716763,MSFT
14752.404684625742,MSFT
14717.277297874205,MSFT
15042.774665010647,MSFT
15255.765624421743,MSFT
15139.06324443666,AAPL
14854.817032541714,AAPL
14814.440430849843,AAPL
15150.630417485769,AAPL
14848.49718306039,AAPL
14559.681940166814,AAPL
14636.027039436696,MSFT
14447.09456120281,AAPL
14064.015776943765,AAPL
13892.18268167621,MSFT
14152.135665024161,MSFT
13754.682944812768,MSFT
13722.62173363821,AAPL
13902.593097202369,AAPL
13874.5759983014,AAPL
13793.495176311506,AAPL
13395.954069981874,AAPL
13709.598534897817,MSFT
13183.09886490917,MSFT
13150.58012164241,AAPL
13731.251283033696,AAPL
13214.889472059082,AAPL
13227.662594029593,AAPL
13341.720235862165,AAPL
13716.63702584099,MSFT
13105.494142181406,MSFT
12968.588226875996,MSFT
12476.490226675158,MSFT
12696.019129381611,MSFT
12261.692428894467,MSFT
12004.715779580356,MSFT
12263.975609885165,MSFT
12120.823242703544,AAPL
12416.84749499167,AAPL
11839.092392876424,MSFT
11783.45254012204,MSFT
11792.258015557854,AAPL
12158.193678314574,MSFT
11912.402001898785,AAPL
11914.06818440818,AAPL
12055.54787868302,MSFT
12376.280109829024,MSFT
12301.848997370504,MSFT
12314.439902983888,MSFT
12399.76030135768,MSFT
12181.434913370676,MSFT
12111.96346135836,MSFT
12268.851479162844,MSFT
12162.486303527241,MSFT
11897.547278116099,MSFT
11355.45365406277,MSFT
10862.481891073177,MSFT
10924.098257662119,AAPL
11238.00560010278,MSFT
10923.676683041776,MSFT
11038.735964710677,AAPL
11299.153969494579,MSFT
11260.690049859939,MSFT
11504.331371727212,MSFT
11885.697529039935,MSFT
11873.811831510895,AAPL
11508.222948942297,AAPL
11666.32594670408,MSFT
11444.345951445011,AAPL
11617.893979677547,AAPL
11826.2051659772,AAPL
11927.995676552397,AAPL
12202.333892633098,AAPL
12156.49236668029,MSFT
11964.929785332326,AAPL
12034.733598101842,AAPL
11992.16971288965,AAPL
12225.806338251174,AAPL
12340.612453770487,MSFT
12073.524507263463,AAPL
12384.077885316707,AAPL
12502.437542319003,MSFT
12612.44734495347,MSFT
12386.485064323702,MSFT
12301.312393871254,MSFT
12180.436683141597,AAPL
12585.249022586071,AAPL
12617.616730017164,AAPL
13018.766663753744,AAPL
12925.63692884274,AAPL
12792.665750017886,AAPL
13269.162133064667,AAPL
13311.324810311244,MSFT
13279.524136407425,AAPL
13227.691854875406,AAPL
13218.476021711693,AAPL
13551.511741629123,AAPL
13477.903576912238,AAPL
13753.200590268734,AAPL
13826.553597494374,AAPL
13799.952040078046,AAPL
13749.772928946397,MSFT
13704.515338112345,AAPL
13483.847325878645,AAPL
13159.835826641627,AAPL
13119.974310286838,AAPL
13130.392537716085,AAPL
13313.202218143579,AAPL
12797.991568421367,AAPL
12609.988638944014,AAPL
12404.375460916286,AAPL
12260.048849305444,AAPL
12305.49687751197,AAPL
12125.698862982226,AAPL
12013.959521873649,AAPL
12113.121430560072,AAPL
11984.50565421788,AAPL
12247.890410221658,MSFT
12707.281817596982,AAPL
11948.919420684539,AAPL
12051.148231799138,AAPL
11810.969020412007,AAPL
11768.353083914126,MSFT
12051.77192388332,AAPL
11937.6946675945,MSFT
11683.805364851423,AAPL
11771.383333057007,MSFT
11581.582503257081,AAPL
11596.178993197627,AAPL
11660.728481795086,AAPL
11501.539934718028,AAPL
10925.092822008917,AAPL
10585.98759156964,AAPL
10900.94501380751,AAPL
11169.361621708724,AAPL
11181.124298526265,AAPL
11095.861081599125,AAPL
10520.507955280667,MSFT
10285.869615004372,MSFT
10103.292023987517,MSFT
10108.429017918292,MSFT
10478.477966593262,MSFT
10213.909069761896,MSFT
10604.549040426526,MSFT
10637.250899802028,MSFT
10634.753391439403,AAPL
10589.375220276817,AAPL
10865.324816274706,AAPL
11015.294869107636,AAPL
11217.28728677936,AAPL
10985.907366629322,AAPL
10757.882621679366,MSFT
11179.81109588168,MSFT
10991.362472851175,MSFT
10792.863696193088,MSFT
10379.440211521522,AAPL
10093.186752713253,MSFT
10063.439438099302,AAPL
10092.64712225296,AAPL
10124.688595363512,AAPL
9778.526972174364,AAPL
10638.789876158442,AAPL
10833.14777820317,AAPL
10719.555364036947,AAPL
10727.474068559244,MSFT
10736.308831114935,MSFT
10723.351302431667,MSFT
10692.218852347198,MSFT
10718.317756778155,MSFT
10839.556703033977,MSFT
10941.522858677772,MSFT
10926.604929748117,MSFT
10628.700422475487,AAPL
10555.20419455172,MSFT
11195.098474271357,MSFT
11205.07975106797,AAPL
11208.393096737487,MSFT
10985.341003643784,MSFT
10751.311222439055,MSFT
10707.664028137604,MSFT
10826.870531375853,AAPL
10729.393870120546,MSFT
11028.627701935,MSFT
11210.210196609094,MSFT
11212.091473424076,MSFT
10843.008052520805,MSFT
10674.089189103006,AAPL
10478.454055153106,MSFT
10526.806814506257,MSFT
10630.777557092852,MSFT
10348.756331714414,MSFT
10361.86916665275,MSFT
10274.681351772124,MSFT
10159.041446439825,MSFT
10429.573352829499,MSFT
10367.649065461173,MSFT
10346.904208059907,MSFT
10443.277615430805,AAPL
10123.3192242814,MSFT
10232.50206619632,MSFT
10321.898012414147,MSFT
10390.200764162768,MSFT
10599.169328403586,AAPL
10582.219301482339,AAPL
10678.720841024722,AAPL
10761.549305224047,AAPL
10692.99593977972,AAPL
10687.04834826629,AAPL
10881.773632588984,AAPL
11126.619276569087,AAPL
11090.723361657616,MSFT
11014.10746908239,MSFT
11341.376273409598,MSFT
11485.235377671603,AAPL
11243.145392456086,AAPL
11333.328896714233,AAPL
11411.53537388469,AAPL
11823.067374457269,AAPL
12099.723837194957,AAPL
11870.690237912635,AAPL
12087.266296472728,AAPL
11861.805654109552,AAPL
11767.960706770948,AAPL
11785.0965617688,AAPL
11994.9502515459,AAPL
11932.278346613264,AAPL
12086.247636033888,AAPL
11948.107942294757,AAPL
11845.992824587593,AAPL
11586.721847470704,MSFT
11521.941250592901,MSFT
11659.763981601242,MSFT
11394.104017780079,MSFT
11476.684352448177,AAPL
11425.636920383304,AAPL
11251.443322852767,AAPL
11286.648636428115,AAPL
11671.412933491461,AAPL
11731.978299688812,MSFT
11550.172402796776,AAPL
11635.380476071286,AAPL
11450.20663126459,AAPL
11279.843826238619,AAPL
11510.415135171168,MSFT
11810.327473545804,MSFT
11829.477708207945,AAPL
12038.790976249902,AAPL
11961.090084037276,AAPL
12134.334923605082,AAPL
12267.133137706991,AAPL
12188.102427222819,MSFT
12416.283832436153,MSFT
12533.996349642572,MSFT
12334.279420783787,MSFT
12270.624991037601,MSFT
12493.753102183839,MSFT
12604.81978261253,AAPL
12789.409248669059,AAPL
12729.152824055227,MSFT
12714.206650889937,MSFT
12557.944166648405,AAPL
12614.40334023865,AAPL
12506.18115747611,MSFT
12398.74002732151,AAPL
12332.364780942886,AAPL
12740.609391852518,AAPL
12700.936087806962,AAPL
12806.302462312686,MSFT
12889.603367215737,AAPL
12966.533470972387,AAPL
12877.761118211798,AAPL
12738.928335853274,AAPL
12750.119317535222,AAPL
12617.062640379634,AAPL
13518.358889924395,MSFT
13888.698888995386,AAPL
13979.542781136946,AAPL
13958.151469489005,AAPL
13857.773557057693,AAPL
13798.088885791478,MSFT
13830.071715667273,MSFT
14465.242709728542,AAPL
14357.64860054023,MSFT
14266.535443854706,MSFT
14499.0321417042,MSFT
14382.397269358007,MSFT
14315.141541845926,MSFT
14323.528022017854,MSFT
14414.736659012331,MSFT
14536.564683715236,MSFT
14720.685003694376,AAPL
14697.644833556751,MSFT
